country,0
Andorra,0.904256855556086
Antigua and Barbuda,0.9108562822033052
Aruba,2.0125634956944403
Australia,2.042083347650771
Austria,1.0489443308201734
"Bahamas, The",-0.697201353244974
Bahrain,1.569444883548315
Barbados,-1.944877558440152
Belgium,1.2820915751763817
Bermuda,0.23387626431553002
British Virgin Islands,
Brunei Darussalam,0.38580722650863875
Canada,1.3342950378830816
Cayman Islands,1.7866073862666054
Channel Islands,
Chile,2.26021730402207
Croatia,2.9475618224706763
Curacao,-3.7249968566283003
Cyprus,4.291799312219737
Czechia,1.999538506476733
Denmark,2.068636269538928
Estonia,3.988996447742332
Faroe Islands,
Finland,1.522737385899645
France,1.0211541546649434
French Polynesia,0.28882829566494334
Germany,0.9797110079185831
Gibraltar,
Greece,0.5980213510572611
Greenland,1.597118064804251
Guam,-1.2431571165457478
"Hong Kong SAR, China",1.1563887918658666
Hungary,3.210525670052959
Iceland,2.560606505322337
Ireland,7.458876735329642
Isle of Man,3.527346993674417
Israel,3.963239534456168
Italy,0.34460912366632074
Japan,-0.012826283509113376
"Korea, Rep.",2.4489679473345114
Kuwait,-1.751898985127233
Latvia,2.351289600002153
Liechtenstein,
Lithuania,3.5631846383484658
Luxembourg,2.3566075127665806
"Macao SAR, China",-3.6186448552909813
Malta,4.727708996785105
Monaco,3.566825254830422
Nauru,1.095214732935512
Netherlands,1.7327091623465432
New Caledonia,
New Zealand,2.5597947245879884
Northern Mariana Islands,5.473813537166375
Norway,1.4038715419012233
Oman,0.8702394421130032
Panama,2.43342376157031
Poland,3.8860609000761897
Portugal,1.3732987003690929
Puerto Rico,-1.8300823578113867
Qatar,0.2544291534902332
Romania,3.7264754733699452
San Marino,-0.09712980508452844
Saudi Arabia,0.48005696441011564
Seychelles,2.722021635343913
Singapore,2.7418279324103882
Sint Maarten (Dutch part),-3.9666663513904563
Slovak Republic,1.8452872475429283
Slovenia,3.30039513814979
Spain,0.7460211940865683
St. Kitts and Nevis,-0.8957032415527714
St. Martin (French part),
Sweden,1.9132679903118248
Switzerland,1.54667844012451
Trinidad and Tobago,-3.4894805353648213
Turks and Caicos Islands,-1.4977349726597462
United Arab Emirates,1.2796775220541992
United Kingdom,0.7353597115139454
United States,2.0544832417860337
Uruguay,0.3985732518270509
Virgin Islands (U.S.),0.6802185067351785
